sample_id,ml_E0_g_per_L,ml_k_d,fit_E0_g_per_L,fit_k_d,true_E0_g_per_L,true_k_d,ml_E0_g_per_L_mae,ml_k_d_mae,fit_E0_g_per_L_mae,fit_k_d_mae,ml_powder_activity_frac_derived,fit_powder_activity_frac_derived,true_powder_activity_frac_derived,ml_rmse,ml_mae,ml_r2,fit_rmse,fit_mae,fit_r2,true_time_to_thresh,ml_time_to_thresh,fit_time_to_thresh
44,0.5364732749741867,0.002402099510009953,0.5907378882367317,0.003461358444280862,0.5852427050815305,0.0019889530619057144,0.0487694301073438,0.0004131464481042387,0.005495183155201144,0.0014724053823751476,0.6004634667237085,0.6612007286154904,0.6550500835012253,0.012121981728990748,0.01197684902747491,0.9931729895401333,0.022341243675596405,0.021406450950268184,0.976810146290281,4.035900671219239,4.10630736897185,4.0314388602446645
45,0.49430054700963577,0.00220566160483719,0.7280201297344195,0.0010339779184734446,0.7319009904285735,0.0018470620943924843,0.2376004434189377,0.00035859951044470584,0.0038808606941539425,0.0008130841759190397,1.0,1.0,1.0,0.04144783224644095,0.03950891652592147,0.9036521508809727,0.014918942592229142,0.014199877967957294,0.9875171294627375,3.9255553669315164,4.37792125038341,3.928787237574566
46,0.6074149654648102,0.002345550970336735,0.922800617590364,0.003805817008413021,0.9113515581207918,0.0037298309940994607,0.3039365926559816,0.0013842800237627256,0.011449059469572198,7.598601431356043e-05,0.316520544326423,0.4808662453039,0.4749002043905657,0.021987400095053063,0.011128069683091962,0.9768565284774783,0.0006698511105238084,0.0005002387624330685,0.999978519850048,4.109037049108773,4.486058365066425,4.099002587128858
47,1.25,0.005,0.8247293953500725,0.004170566338986278,0.8191966160449564,0.003267820855364611,0.4308033839550436,0.001732179144635389,0.005532779305116087,0.000902745483621667,1.0,1.0,1.0,0.013732871168058767,0.005864393248599166,0.9799995734324799,0.008543562066858579,0.00824933251749354,0.992259045329389,2.425465212411896,2.2087661000615877,2.4227718751148255
48,0.217502680875998,0.0024859386281156394,0.5426625698544054,0.0026448279926853217,0.5334519895868075,0.0016042650575925016,0.3159493087108095,0.0008816735705231378,0.009210580267597912,0.00104056293509282,0.7838875926452472,1.0,1.0,0.17916540306493678,0.1776438327924998,-0.36409250503016155,0.03590380197805765,0.033634619128731,0.9452207097773472,6.3686787647105065,15.014608567485615,6.267822229363085
49,1.25,0.005,0.6982940769710011,0.0007558179778944041,0.9145581886555505,0.0031728572903868386,0.3354418113444495,0.0018271427096131615,0.2162641116845494,0.0024170393124924344,0.5032033540014018,0.28110713728889664,0.3681669983687359,0.011139736462953407,0.00680527133640755,0.9931169187790596,0.0205321721565412,0.018516519421985594,0.9766168586474102,3.6162518781983226,3.4525159159262016,3.7815075490899193
50,1.1580325590087488,0.004990908984435192,0.8953155845952543,0.00278467365770795,0.8876382703535243,0.0034176167664020517,0.2703942886552245,0.0015732922180331402,0.0076773142417300155,0.0006329431086941019,0.5934878762432754,0.45884629126816256,0.45491169297977185,0.010699744653089923,0.006994412950959864,0.9894355177265851,0.009020896143146407,0.00878709871052972,0.9924906774778923,2.8303934134861786,2.64388757738395,2.8224553853347047
51,0.3246232274371664,0.0024248925701345807,0.47960376824002665,0.0030886604988841224,0.4772807881670877,0.002200363220641551,0.15265756072992132,0.0002245293494930298,0.0023229800729389627,0.0008882972782425715,0.14909688717735733,0.2202782268159156,0.21921130039606393,0.04778819724329515,0.04584137222803363,0.9010123345413421,0.0207120297108856,0.01973659753141121,0.9814054741906993,4.558507089709055,5.471119482774748,4.555272150284454
52,0.31953058934641154,0.0023924130143183164,0.5332320955802483,2.4161382759137026e-12,0.5353042347988464,0.0013037857794145835,0.21577364545243483,0.001088627234903733,0.002072139218598057,0.0013037857769984452,0.26211706582246985,0.437420506693129,0.43912032220395564,0.08936685274934458,0.08831844892558104,0.657453363231027,0.03145939248272452,0.030016828391165006,0.9575510019302945,4.648784691773115,7.150636814099242,4.649556801324604
53,0.4524366228912322,0.002339133663992487,0.44645293092959704,0.004800888372744745,0.4434542952757688,0.004314525506838563,0.008982327615463415,0.001975391842846076,0.002998635653828241,0.0004863628659061824,0.9757536096200546,0.9628487987912822,0.956381750336052,0.0348629498945856,0.033857700223390005,0.9416910447112515,0.00726573854547246,0.006992043945514749,0.9974674004308507,4.189745116972932,4.168034805408578,4.184858025917827
